SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6*,Sp7*,Sp8*,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude
2120808,2.72963,2.67502,2.62999,2.59107,2.55563,2.52272,2.49066,2.46299,2.44698,2.44842,2.47141,2.51484,2.5634,2.5887,2.58092,2.56726,2.58621,2.66248,2.7909,2.92957,3.01889,3.04407,3.03086,2.99701,2.95314,2.90566,2.85995,2.8161,2.77331,2.73432,2.70247,2.6796,2.66709,2.66772,2.69287,2.76611,2.91655,3.09869,1,9.9,Y,Y,Y,Y,Y,Y,Y,Y
W3A16Q1,2.22654,2.17868,2.13999,2.10364,2.07428,2.05298,2.02839,1.99899,1.97975,1.97799,1.9952,2.02974,2.06889,2.0897,2.08665,2.08203,2.10724,2.18454,2.30467,2.42591,2.49533,2.50576,2.48471,2.44816,2.40294,2.35668,2.31378,2.27393,2.23406,2.19755,2.16968,2.15166,2.14444,2.14977,2.17686,2.25461,2.40984,2.61814,11.7,11.6,N,N,N,N,N,N,N,N
W1C16Q3,2.31711,2.28508,2.26003,2.24003,2.22175,2.20786,2.19537,2.18496,2.18358,2.19629,2.22765,2.27563,2.32678,2.3581,2.35908,2.35073,2.36816,2.43549,2.54849,2.67519,2.76625,2.80111,2.79785,2.77302,2.73517,2.69262,2.65015,2.60985,2.57013,2.53531,2.50937,2.49253,2.48707,2.49476,2.5264,2.61367,2.7731,2.97527,10.1,11.4,N,N,N,N,N,N,N,N
2140255,1.78814,1.75199,1.72268,1.69927,1.67754,1.65778,1.63962,1.62556,1.61987,1.62614,1.64729,1.68292,1.72096,1.74084,1.73643,1.72838,1.74433,1.80261,1.90017,2.00719,2.07965,2.10505,2.10131,2.08106,2.05027,2.0159,1.98246,1.95031,1.91881,1.89123,1.86975,1.85561,1.8499,1.85403,1.87676,1.94071,2.06429,2.22458,12.26,10.09,N,N,N,N,N,N,N,N
2141056,1.93037,1.8906,1.85856,1.83256,1.80903,1.78827,1.76914,1.75376,1.74763,1.75523,1.78004,1.82128,1.86581,1.89113,1.89035,1.88599,1.90987,1.98156,2.09374,2.21118,2.28806,2.31227,2.30361,2.2771,2.24038,2.20069,2.16261,2.12656,2.09166,2.06133,2.03812,2.0233,2.01769,2.02297,2.04854,2.11849,2.25378,2.42757,9.78,11.49,N,N,N,N,N,N,N,N
2121012,2.09402,2.04791,2.00891,1.97509,1.94311,1.9132,1.88547,1.86224,1.84766,1.84508,1.85763,1.88538,1.91595,1.92762,1.91491,1.89817,1.90517,1.95621,2.052,2.16174,2.23505,2.25881,2.2532,2.23062,2.19722,2.1602,2.12436,2.08963,2.05496,2.02373,1.99848,1.9807,1.97165,1.97368,1.99574,2.06133,2.18885,2.35261,12.8,8.3,N,N,N,N,N,N,N,N
W2701032,1.85865,1.82189,1.79441,1.76552,1.73911,1.71903,1.6982,1.67403,1.65849,1.6581,1.67437,1.70621,1.74249,1.76299,1.75821,1.74664,1.75751,1.81088,1.9023,2.0045,2.07829,2.10709,2.10468,2.08433,2.05344,2.01853,1.98398,1.95109,1.91779,1.88828,1.86582,1.85119,1.84413,1.84631,1.86501,1.92378,2.04558,2.21301,9.89,11.13,N,N,N,N,N,N,N,N
2120363,1.83061,1.79087,1.75877,1.7333,1.70988,1.68876,1.66926,1.654,1.64791,1.65499,1.67839,1.71775,1.76032,1.78422,1.78289,1.77795,1.79916,1.86608,1.97351,2.08812,2.1634,2.18727,2.17987,2.15553,2.12113,2.08362,2.04775,2.01367,1.98079,1.95203,1.92967,1.91548,1.91005,1.91527,1.93985,2.00744,2.13826,2.30831,11,10.5,N,N,N,N,N,N,N,N
2140086,2.68402,2.64587,2.61389,2.58875,2.56716,2.54665,2.52557,2.50835,2.50044,2.50749,2.53385,2.57837,2.62594,2.65129,2.64767,2.6399,2.66277,2.73541,2.85046,2.96963,3.04596,3.06813,3.05789,3.02983,2.99105,2.94876,2.90696,2.8673,2.82795,2.79206,2.76341,2.74488,2.73472,2.73685,2.76166,2.83048,2.968,3.13187,9.89,11.34,N,N,N,N,N,N,N,N
2121017,2.34871,2.30699,2.27324,2.24481,2.21802,2.19229,2.16751,2.1472,2.13738,2.14265,2.16673,2.20943,2.2555,2.27739,2.26684,2.24941,2.25999,2.32376,2.44311,2.58102,2.67291,2.70155,2.69335,2.66488,2.62481,2.58117,2.53911,2.49838,2.45783,2.42053,2.38939,2.36625,2.35296,2.35238,2.37568,2.44688,2.58868,2.76544,10.8,7.8,N,N,N,N,N,N,N,N
