SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Product,Exclude,Exclude
5R2,1.8382,1.855,1.8832,1.9194,1.9611,2.0044,2.0433,2.0795,2.116,2.1547,2.1962,2.2365,2.272,2.3096,2.3632,2.4419,2.5546,2.6771,2.7462,2.7572,2.7367,2.6976,2.6485,2.5949,2.5421,2.4941,2.4531,2.4201,2.3963,2.3829,2.3796,2.3859,2.3995,2.4209,2.4661,2.5713,2.7596,2.9664,3,73.6,94.3,CL,Y,Y
8R2,1.8449,1.8578,1.8833,1.9171,1.9562,1.9966,2.0329,2.0673,2.1023,2.1394,2.1791,2.218,2.253,2.2904,2.3439,2.4231,2.5368,2.662,2.7327,2.7426,2.7199,2.6781,2.6262,2.57,2.5144,2.4639,2.4208,2.3863,2.3618,2.3484,2.3454,2.3527,2.3677,2.3901,2.4355,2.5417,2.7332,2.9471,3.3,73.6,94.3,CL,N,N
30R1,1.85,1.87,1.8957,1.9268,1.9631,1.9986,2.0278,2.0552,2.0871,2.1289,2.1836,2.2439,2.3101,2.3892,2.4582,2.4872,2.5359,2.6258,2.6849,2.6956,2.6821,2.657,2.6271,2.5919,2.5538,2.5143,2.4689,2.423,2.3868,2.3659,2.3595,2.367,2.3891,2.4265,2.4958,2.6361,2.8721,3.1343,44.1,43.5,57.8,CL,Y,Y
30R1,1.85,1.87,1.8957,1.9268,1.9631,1.9986,2.0278,2.0552,2.0871,2.1289,2.1836,2.2439,2.3101,2.3892,2.4582,2.4872,2.5359,2.6258,2.6849,2.6956,2.6821,2.657,2.6271,2.5919,2.5538,2.5143,2.4689,2.423,2.3868,2.3659,2.3595,2.367,2.3891,2.4265,2.4958,2.6361,2.8721,3.1343,44.1,43.5,57.8,CL,Y,Y
6R1,1.8646,1.8978,1.9362,1.9784,2.0233,2.0686,2.1098,2.1486,2.1868,2.2263,2.2678,2.3072,2.3412,2.3765,2.4264,2.4997,2.6047,2.7197,2.7871,2.8023,2.7881,2.7556,2.7123,2.6636,2.6145,2.5691,2.5292,2.4962,2.4711,2.4548,2.4474,2.4482,2.4555,2.4701,2.5068,2.6002,2.7729,2.9663,3.4,73.1,93.7,CL,N,N
1R1,1.8668,1.8802,1.9046,1.9367,1.9746,2.0141,2.0496,2.0826,2.1159,2.1514,2.1895,2.2267,2.2596,2.2946,2.3455,2.4215,2.5316,2.6521,2.7205,2.7322,2.7125,2.6733,2.6231,2.5674,2.5117,2.4606,2.4167,2.3811,2.3553,2.3405,2.3366,2.3428,2.3561,2.3772,2.4211,2.525,2.7114,2.9161,3,73.4,94,CL,N,N
31R1,1.8726,1.8888,1.9111,1.9391,1.9732,2.007,2.034,2.0588,2.0882,2.1279,2.181,2.2403,2.3063,2.3857,2.4545,2.4836,2.5346,2.6271,2.6864,2.6953,2.6791,2.6513,2.6188,2.5812,2.5409,2.4993,2.4519,2.4043,2.3671,2.3458,2.3399,2.3491,2.3734,2.4135,2.4864,2.6324,2.8759,3.1411,44.7,43.1,57.4,CL,Y,Y
31R1,1.8726,1.8888,1.9111,1.9391,1.9732,2.007,2.034,2.0588,2.0882,2.1279,2.181,2.2403,2.3063,2.3857,2.4545,2.4836,2.5346,2.6271,2.6864,2.6953,2.6791,2.6513,2.6188,2.5812,2.5409,2.4993,2.4519,2.4043,2.3671,2.3458,2.3399,2.3491,2.3734,2.4135,2.4864,2.6324,2.8759,3.1411,44.7,43.1,57.4,CL,Y,Y
26R1,1.8765,1.8916,1.9176,1.951,1.9897,2.0281,2.061,2.0926,2.1279,2.1712,2.2249,2.2827,2.3437,2.4145,2.4808,2.5233,2.5869,2.6835,2.7437,2.7527,2.7361,2.7072,2.6734,2.6356,2.5966,2.5582,2.5175,2.4784,2.4486,2.4318,2.4276,2.4352,2.4551,2.4878,2.549,2.6768,2.897,3.1455,38.9,45.4,60.1,CL,Y,Y
26R1,1.8765,1.8916,1.9176,1.951,1.9897,2.0281,2.061,2.0926,2.1279,2.1712,2.2249,2.2827,2.3437,2.4145,2.4808,2.5233,2.5869,2.6835,2.7437,2.7527,2.7361,2.7072,2.6734,2.6356,2.5966,2.5582,2.5175,2.4784,2.4486,2.4318,2.4276,2.4352,2.4551,2.4878,2.549,2.6768,2.897,3.1455,38.9,45.4,60.1,CL,Y,Y
32R1,1.8935,1.9133,1.9396,1.9721,2.01,2.047,2.0773,2.1056,2.139,2.183,2.2409,2.3048,2.3749,2.4584,2.5287,2.5533,2.5972,2.6845,2.7423,2.7526,2.7396,2.7159,2.6881,2.655,2.6191,2.5811,2.536,2.4898,2.4531,2.4316,2.4246,2.4317,2.4537,2.4917,2.5623,2.7051,2.9441,3.2101,47.1,41.5,55.4,CL,Y,Y
32R1,1.8935,1.9133,1.9396,1.9721,2.01,2.047,2.0773,2.1056,2.139,2.183,2.2409,2.3048,2.3749,2.4584,2.5287,2.5533,2.5972,2.6845,2.7423,2.7526,2.7396,2.7159,2.6881,2.655,2.6191,2.5811,2.536,2.4898,2.4531,2.4316,2.4246,2.4317,2.4537,2.4917,2.5623,2.7051,2.9441,3.2101,47.1,41.5,55.4,CL,Y,Y
