SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Cal4,Product,Date,Time,SensTemp,SampTemp,ScanColour,Exclude,Exclude,
50B8A,2.52441,2.49958,2.49815,2.52440,2.56759,2.61464,2.64839,2.67533,2.70995,2.76074,2.83113,2.91112,3.00087,3.10687,3.19927,3.23941,3.31384,3.44004,3.51496,3.51851,3.48536,3.43453,3.37640,3.31058,3.24222,3.17393,3.10001,3.02830,2.97235,2.94141,2.93393,2.94867,2.98462,3.04038,3.13560,3.32066,3.63074,3.96805,42.50000,44.95000,57.50000,7.00000,10:28,-1,-170,0.00,0.00,65280,N,N,
50B8B,2.54790,2.51992,2.51623,2.54108,2.58389,2.63086,2.66440,2.69108,2.72563,2.77682,2.84815,2.92980,3.02178,3.13022,3.22477,3.26687,3.34453,3.47461,3.55185,3.55568,3.52173,3.46946,3.40957,3.34148,3.27077,3.20014,3.12394,3.05030,2.99320,2.96193,2.95500,2.97104,3.00838,3.06543,3.16230,3.35000,3.66339,4.00198,42.50000,44.95000,57.50000,7.00000,10:31,-1,-173,0.00,0.00,65280,N,N,
50BC,2.14465,2.13316,2.13541,2.15788,2.19384,2.23269,2.25995,2.28097,2.30869,2.35077,2.40977,2.47614,2.55126,2.64217,2.72216,2.75379,2.81358,2.91961,2.98496,2.99237,2.96995,2.93320,2.89047,2.84125,2.78986,2.73864,2.68154,2.62534,2.58186,2.55908,2.55550,2.56982,2.60199,2.65153,2.73460,2.89470,3.16381,3.46519,46.15000,42.25000,53.85000,14.00000,11:58,-1,-177,0.00,0.00,65280,Y,Y,
50C17A,2.56760,2.53640,2.53050,2.55450,2.59690,2.64410,2.67840,2.70540,2.73970,2.78930,2.85710,2.93360,3.01860,3.11860,3.21150,3.26830,3.36210,3.50220,3.58290,3.58590,3.54890,3.49200,3.42710,3.35500,3.28150,3.21040,3.13730,3.06900,3.01670,2.98830,2.98300,2.99950,3.03610,3.09150,3.18640,3.37620,3.71240,4.16140,38.75000,47.80000,61.25000,49.60000,50CL,6/28/2011,12:05:25,0.00,0.00,65280,Y,Y,
50C20A,2.53570,2.54800,2.57010,2.60930,2.66100,2.71560,2.75770,2.79250,2.83350,2.88890,2.96240,3.04340,3.13270,3.23770,3.33040,3.37320,3.45000,3.57990,3.66360,3.67880,3.65790,3.61850,3.57060,3.51350,3.45230,3.38940,3.31940,3.24960,3.19300,3.15840,3.14450,3.15070,3.17700,3.22330,3.31020,3.49290,3.82510,4.29640,44.35000,42.40000,55.65000,48.60000,50CL,6/29/2011,2:25:40,0.00,0.00,65280,Y,Y,
50C24A,2.40980,2.43090,2.45770,2.49840,2.54960,2.60220,2.64140,2.67320,2.71140,2.76480,2.83760,2.92050,3.01510,3.12750,3.22100,3.24840,3.30620,3.42370,3.50210,3.51560,3.49520,3.45800,3.41360,3.35960,3.29980,3.23650,3.16270,3.08660,3.02390,2.98460,2.96750,2.97170,2.99770,3.04480,3.13270,3.31440,3.63780,4.05460,47.10000,41.58000,52.90000,42.10000,50CL,7/06/2011,12:44:27,0.00,0.00,65280,N,N,
50C30A,2.43240,2.41620,2.42150,2.45150,2.49760,2.54880,2.58910,2.62210,2.65910,2.70610,2.76430,2.82620,2.89020,2.96350,3.04200,3.11580,3.22750,3.36810,3.44730,3.45440,3.42300,3.37030,3.30710,3.23720,3.16680,3.10060,3.03760,2.98170,2.93930,2.91600,2.91120,2.92360,2.95110,2.99260,3.06770,3.22530,3.50950,3.86430,26.95000,56.53000,73.05000,54.40000,50CL,7/07/2011,2:39:30,0.00,0.00,65280,Y,Y,
50COW11A,2.22881,2.22551,2.23643,2.26848,2.31406,2.36330,2.40114,2.43111,2.46498,2.50870,2.56397,2.62317,2.68522,2.75686,2.83084,2.89494,2.99454,3.12322,3.19709,3.20629,3.18115,3.13732,3.08457,3.02578,2.96614,2.90950,2.85412,2.80393,2.76541,2.74421,2.73975,2.75084,2.77617,2.81472,2.88435,3.02946,3.28212,3.56599,28.60000,55.20000,71.40000,25.00000,10:08,-1,-177,0.00,0.00,65280,Y,Y,
50COW11B,2.13343,2.12856,2.13735,2.16727,2.21063,2.25745,2.29276,2.32017,2.35133,2.39209,2.44390,2.49967,2.55843,2.62663,2.69753,2.76028,2.85785,2.98199,3.05076,3.05629,3.02906,2.98503,2.93377,2.87789,2.82212,2.76968,2.71882,2.67294,2.63809,2.61934,2.61648,2.62831,2.65362,2.69190,2.76012,2.90091,3.14604,3.42286,28.60000,55.20000,71.40000,25.00000,10:12,-1,-170,0.00,0.00,65280,Y,Y,
50C5A,2.19340,2.21370,2.23650,2.27370,2.32120,2.37050,2.40750,2.43720,2.47240,2.52100,2.58610,2.65730,2.73610,2.82910,2.90910,2.94310,3.00940,3.12330,3.19840,3.21630,3.20290,3.17200,3.13170,3.08160,3.02610,2.96810,2.90280,2.83720,2.78370,2.75120,2.73860,2.74520,2.77050,2.81460,2.89490,3.05700,3.33250,3.63760,42.05000,45.25000,57.95000,44.20000,50CL,7/11/2011,8:31:53,57.95,45.45,45,N,N,
50C20A,2.37740,2.39390,2.41560,2.45100,2.49780,2.54690,2.58270,2.61120,2.64640,2.69700,2.76710,2.84640,2.93610,3.04300,3.13460,3.17100,3.24220,3.37120,3.45430,3.46660,3.44220,3.39970,3.34930,3.28960,3.22470,3.15750,3.08180,3.00590,2.94440,2.90720,2.89320,2.90210,2.93340,2.98640,3.08030,3.26600,3.58010,3.92820,44.80000,43.27500,55.20000,39.50000,50,7/15/2011,11:58:32,55.20,43.50,43,N,N,
