SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Cal4,Product,Date,Time,SensTemp,SampTemp,ScanColour,Exclude
50C24A,2.4098,2.4309,2.4577,2.4984,2.5496,2.6022,2.6414,2.6732,2.7114,2.7648,2.8376,2.9205,3.0151,3.1275,3.221,3.2484,3.3062,3.4237,3.5021,3.5156,3.4952,3.458,3.4136,3.3596,3.2998,3.2365,3.1627,3.0866,3.0239,2.9846,2.9675,2.9717,2.9977,3.0448,3.1327,3.3144,3.6378,4.0546,47.1,41.58,52.9,42.1,50CL,7/06/2011,12:44:27,0,0,65280,N
50C30A,2.4324,2.4162,2.4215,2.4515,2.4976,2.5488,2.5891,2.6221,2.6591,2.7061,2.7643,2.8262,2.8902,2.9635,3.042,3.1158,3.2275,3.3681,3.4473,3.4544,3.423,3.3703,3.3071,3.2372,3.1668,3.1006,3.0376,2.9817,2.9393,2.916,2.9112,2.9236,2.9511,2.9926,3.0677,3.2253,3.5095,3.8643,26.95,56.53,73.05,54.4,50CL,7/07/2011,2:39:30,0,0,65280,Y
50COW11A,2.22881,2.22551,2.23643,2.26848,2.31406,2.3633,2.40114,2.43111,2.46498,2.5087,2.56397,2.62317,2.68522,2.75686,2.83084,2.89494,2.99454,3.12322,3.19709,3.20629,3.18115,3.13732,3.08457,3.02578,2.96614,2.9095,2.85412,2.80393,2.76541,2.74421,2.73975,2.75084,2.77617,2.81472,2.88435,3.02946,3.28212,3.56599,28.6,55.2,71.4,25,10:08,-1,-177,0,0,65280,N
50COW11B,2.13343,2.12856,2.13735,2.16727,2.21063,2.25745,2.29276,2.32017,2.35133,2.39209,2.4439,2.49967,2.55843,2.62663,2.69753,2.76028,2.85785,2.98199,3.05076,3.05629,3.02906,2.98503,2.93377,2.87789,2.82212,2.76968,2.71882,2.67294,2.63809,2.61934,2.61648,2.62831,2.65362,2.6919,2.76012,2.90091,3.14604,3.42286,28.6,55.2,71.4,25,10:12,-1,-170,0,0,65280,N
50C5A,2.1934,2.2137,2.2365,2.2737,2.3212,2.3705,2.4075,2.4372,2.4724,2.521,2.5861,2.6573,2.7361,2.8291,2.9091,2.9431,3.0094,3.1233,3.1984,3.2163,3.2029,3.172,3.1317,3.0816,3.0261,2.9681,2.9028,2.8372,2.7837,2.7512,2.7386,2.7452,2.7705,2.8146,2.8949,3.057,3.3325,3.6376,42.05,45.25,57.95,44.2,50CL BEEF,7/11/2011,8:31:53 AM,57.95,45.45,45.05,
50C20A,2.3774,2.3939,2.4156,2.451,2.4978,2.5469,2.5827,2.6112,2.6464,2.697,2.7671,2.8464,2.9361,3.043,3.1346,3.171,3.2422,3.3712,3.4543,3.4666,3.4422,3.3997,3.3493,3.2896,3.2247,3.1575,3.0818,3.0059,2.9444,2.9072,2.8932,2.9021,2.9334,2.9864,3.0803,3.266,3.5801,3.9282,44.8,43.275,55.2,39.5,50 CL BEEF,7/15/2011,11:58:32 AM,55.2,43.5,43.05,
50C15A,2.3886,2.4006,2.4186,2.4531,2.5009,2.5516,2.588,2.617,2.6531,2.7058,2.7788,2.8628,2.9581,3.0722,3.1744,3.2203,3.3025,3.4455,3.5396,3.5574,3.5349,3.4916,3.4385,3.3746,3.3055,3.2345,3.1556,3.0772,3.015,2.9795,2.9691,2.9829,3.0196,3.0777,3.177,3.369,3.6886,4.0236,42.55,44.9,57.45,48.6,50CL BEEF,7/12/2011,9:57:46 AM,57.45,45,44.8,
50C13A,2.5284,2.5121,2.5181,2.549,2.5954,2.6459,2.6847,2.7176,2.7577,2.8129,2.8863,2.9671,3.0554,3.1573,3.2462,3.2875,3.3594,3.4798,3.5547,3.5642,3.54,3.4989,3.4502,3.394,3.3348,3.2755,3.2108,3.1474,3.0976,3.0697,3.0619,3.0735,3.1032,3.1513,3.2355,3.4041,3.6944,4.0222,42.45,45.05,57.55,44.2,50 CL BEEF,7/13/2011,11:56:55 AM,57.55,45.25,44.85,
50B32A,2.1748,2.1877,2.2036,2.2333,2.2747,2.3189,2.3503,2.3742,2.4037,2.4466,2.5058,2.5726,2.6472,2.7373,2.8229,2.8736,2.9608,3.0968,3.1815,3.1942,3.1691,3.1243,3.0699,3.0068,2.9399,2.8726,2.801,2.7316,2.6768,2.6457,2.6374,2.6511,2.6859,2.7404,2.833,3.0115,3.3091,3.6304,59.15,47.5,40.85,47.5,50CL BEEF,7/12/2011,2:26:20 PM,40.85,47.55,47.45,
50B23A,2.2337,2.2499,2.27,2.3049,2.3501,2.3954,2.4272,2.4521,2.4846,2.5341,2.605,2.6868,2.7824,2.8979,2.9866,2.9908,3.0232,3.1183,3.1837,3.1959,3.1806,3.1529,3.1203,3.0786,3.0309,2.9778,2.9105,2.8383,2.7782,2.7413,2.7255,2.7304,2.7572,2.8054,2.8926,3.0654,3.3573,3.6805,51.5,38.325,48.5,36,50CL BEEF,7/11/2011,2:01:23 PM,48.5,37.85,38.8,
