SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Product,Exclude,Exclude,Exclude,Exclude
95B17A,1.9891,1.9201,1.883,1.8811,1.8992,1.9246,1.9418,1.9528,1.9673,1.9892,2.018,2.0478,2.0748,2.1057,2.1544,2.2289,2.3397,2.454,2.5053,2.4962,2.4538,2.3911,2.3173,2.2387,2.1622,2.0938,2.0367,1.9925,1.9629,1.9512,1.9574,1.9798,2.0146,2.0603,2.132,2.2672,2.4921,2.7413,4.1,74.7,95.9,CL,N,N,N,N
95B23A,1.86699,1.82714,1.8078,1.81596,1.8409,1.872,1.89385,1.9086,1.92609,1.95027,1.98077,2.01167,2.03901,2.07088,2.12354,2.20626,2.3298,2.46,2.52473,2.52506,2.49037,2.43446,2.36709,2.29463,2.22376,2.16037,2.10742,2.06629,2.03856,2.02759,2.03358,2.05487,2.08803,2.13197,2.20208,2.3364,2.56099,2.80701,4.1,74.8,95.9,CL,N,N,N,N
95B23B,1.89056,1.84565,1.82354,1.83006,1.8543,1.88503,1.9067,1.92138,1.93892,1.96318,1.99387,2.02553,2.0542,2.08748,2.14137,2.22532,2.35022,2.48186,2.54746,2.54774,2.51223,2.45489,2.38576,2.31116,2.23797,2.17248,2.11776,2.07533,2.04684,2.03582,2.04233,2.06443,2.09837,2.14281,2.21313,2.34814,2.57492,2.82347,4.1,74.8,95.9,CL,N,N,N,N
95B6A,2.1138,2.0314,1.9854,1.9777,1.9929,2.0162,2.0312,2.0401,2.0535,2.0755,2.1056,2.1372,2.166,2.1996,2.253,2.3347,2.4571,2.5856,2.6433,2.6319,2.5827,2.5104,2.4257,2.3354,2.2473,2.1683,2.102,2.0507,2.0167,2.0039,2.0123,2.0397,2.0816,2.1359,2.2187,2.3703,2.6192,2.8914,4.1,74.8,95.9,CL,N,N,N,N
95C16A,1.8888,1.8313,1.8009,1.8023,1.8224,1.849,1.8672,1.8791,1.8941,1.9159,1.9441,1.9735,2.0005,2.0314,2.0797,2.1531,2.2618,2.3738,2.4247,2.4176,2.3788,2.3212,2.2541,2.1832,2.1145,2.0534,2.0026,1.9633,1.9367,1.9262,1.9317,1.9518,1.9833,2.0247,2.0909,2.2183,2.4318,2.6676,4.1,74.8,95.9,CL,N,N,N,N
95B30A,1.902,1.8521,1.8265,1.831,1.8535,1.8825,1.9025,1.9154,1.9314,1.9542,1.9835,2.014,2.0422,2.0757,2.1293,2.2116,2.3339,2.462,2.523,2.5192,2.4804,2.4207,2.3502,2.2751,2.202,2.137,2.0828,2.0409,2.0131,2.0026,2.0097,2.0326,2.0677,2.1133,2.1849,2.3215,2.55,2.8006,4.1,74.7,95.9,CL,N,N,N,N
95B1A,1.6205,1.628,1.6343,1.6537,1.6833,1.7168,1.7414,1.7583,1.7763,1.7992,1.8265,1.8524,1.8734,1.8982,1.9432,2.0178,2.1318,2.254,2.3229,2.3383,2.3228,2.2868,2.2379,2.1818,2.1246,2.0716,2.0258,1.9885,1.9615,1.9485,1.9498,1.9643,1.9892,2.0242,2.0836,2.2012,2.3995,2.618,4.3,74.7,95.8,CL,N,N,N,N
95B24A,1.8261,1.818,1.8214,1.8446,1.8809,1.922,1.9537,1.9775,2.0026,2.0327,2.0676,2.1017,2.1309,2.1632,2.2153,2.2971,2.4178,2.545,2.6134,2.6236,2.6011,2.558,2.5032,2.4428,2.383,2.3292,2.2838,2.2479,2.2224,2.21,2.2111,2.2243,2.247,2.2787,2.3347,2.4514,2.6546,2.885,4.2,74.6,95.8,CL,N,N,N,N
95B21A,1.7353,1.6889,1.664,1.6667,1.6862,1.712,1.7295,1.7405,1.7544,1.7752,1.8024,1.8301,1.8543,1.8824,1.9301,2.0062,2.1195,2.2374,2.2951,2.2947,2.2623,2.2106,2.1484,2.0818,2.017,1.9593,1.9117,1.8756,1.8522,1.8446,1.853,1.8758,1.9098,1.9539,2.0223,2.1498,2.3595,2.5889,4.2,74.7,95.8,CL,N,N,N,N
95B10A,2.0312,1.9566,1.9151,1.9101,1.9263,1.9505,1.9661,1.9753,1.9885,2.01,2.0393,2.0702,2.0987,2.1324,2.1855,2.2661,2.3862,2.5116,2.5673,2.5555,2.5073,2.438,2.3578,2.2732,2.1914,2.1187,2.0582,2.0117,1.9812,1.9704,1.9791,2.0057,2.0462,2.0985,2.1785,2.3255,2.5672,2.8304,4.2,74.7,95.8,CL,N,N,N,N
95B17A,2.1027,2.0193,1.9733,1.9665,1.9822,2.0062,2.022,2.0318,2.0457,2.068,2.0979,2.1294,2.1582,2.1914,2.2438,2.3237,2.4423,2.5653,2.6186,2.6047,2.5543,2.4821,2.3983,2.3098,2.2241,2.1477,2.084,2.035,2.0024,1.99,1.9977,2.0235,2.0635,2.1154,2.1954,2.3428,2.5856,2.8539,4.3,74.7,95.7,CL,N,N,N,N
95B24A,2.0169,1.9399,1.8967,1.891,1.9075,1.9319,1.9477,1.9569,1.97,1.9914,2.0206,2.0514,2.0798,2.1134,2.1674,2.2501,2.3731,2.5008,2.5575,2.5457,2.497,2.4266,2.345,2.2587,2.1753,2.1012,2.0397,1.9928,1.9623,1.9516,1.961,1.9884,2.0297,2.0827,2.1634,2.3121,2.5555,2.8226,4.3,74.6,95.7,CL,N,N,N,N
95B24A,2.0169,1.9399,1.8967,1.891,1.9075,1.9319,1.9477,1.9569,1.97,1.9914,2.0206,2.0514,2.0798,2.1134,2.1674,2.2501,2.3731,2.5008,2.5575,2.5457,2.497,2.4266,2.345,2.2587,2.1753,2.1012,2.0397,1.9928,1.9623,1.9516,1.961,1.9884,2.0297,2.0827,2.1634,2.3121,2.5555,2.8226,4.3,74.6,95.7,CL,N,N,N,N
95B24A,1.7865,1.7359,1.7085,1.7109,1.7315,1.7587,1.7769,1.7882,1.8026,1.8241,1.8523,1.882,1.9091,1.941,1.9936,2.0758,2.1977,2.3252,2.387,2.3849,2.3482,2.291,2.2232,2.1508,2.0804,2.0179,1.9662,1.9268,1.9012,1.8928,1.9016,1.926,1.9624,2.0088,2.0808,2.2154,2.4386,2.6838,4.3,74.6,95.7,CL,N,N,N,N
95B2A,1.96595,1.90237,1.86789,1.86656,1.88483,1.9102,1.92715,1.93762,1.95155,1.973,2.00137,2.03065,2.05691,2.08771,2.13792,2.21605,2.33305,2.45496,2.51148,2.50493,2.46379,2.40139,2.3273,2.24796,2.17045,2.1011,2.0431,1.99833,1.96858,1.95729,1.96448,1.98822,2.02494,2.07268,2.14713,2.28575,2.51496,2.76479,4.3,74.6,95.7,CL,N,N,N,N
95B2B,1.93307,1.87047,1.83613,1.8345,1.85198,1.87649,1.89253,1.90209,1.91493,1.93501,1.96177,1.98978,2.01533,2.04545,2.09433,2.17028,2.28401,2.40202,2.45621,2.44931,2.40891,2.34798,2.27593,2.19897,2.12386,2.05678,2.0008,1.95762,1.92898,1.91839,1.92555,1.94872,1.98427,2.03025,2.10178,2.23592,2.4587,2.70244,4.3,74.6,95.7,CL,N,N,N,N
95C18A,1.9701,1.9452,1.9413,1.9629,1.9985,2.0387,2.0702,2.0943,2.1196,2.1495,2.1836,2.2175,2.2477,2.2799,2.3266,2.3956,2.4956,2.5982,2.6483,2.6481,2.6199,2.5749,2.521,2.4636,2.4079,2.358,2.3157,2.2816,2.256,2.2413,2.2379,2.2443,2.2587,2.2804,2.324,2.4224,2.602,2.8114,4.3,74.6,95.7,CL,N,N,N,N
95C21A,1.7138,1.6582,1.6267,1.6257,1.6424,1.6654,1.6804,1.689,1.7009,1.7195,1.7444,1.7706,1.7942,1.8218,1.8676,1.9396,2.0464,2.1556,2.2059,2.2008,2.1654,2.1119,2.0489,1.982,1.9172,1.8597,1.8123,1.7764,1.7532,1.7456,1.7541,1.7767,1.81,1.853,1.9193,2.043,2.2469,2.4703,4.3,74.6,95.7,CL,N,N,N,N
95HS1A,1.90365,1.91746,1.93644,1.97009,2.0142,2.06205,2.10001,2.12921,2.15862,2.19181,2.22873,2.26422,2.29431,2.32707,2.37977,2.46312,2.58614,2.7159,2.78662,2.79849,2.77721,2.73509,2.6812,2.62157,2.56217,2.50819,2.462,2.42438,2.39598,2.37959,2.37559,2.38265,2.3984,2.42264,2.47124,2.58039,2.77684,3.00053,4.3,74.6,95.7,CL,N,N,N,N
95HS1B,1.97364,1.99169,2.0151,2.0524,2.10022,2.15204,2.19325,2.2251,2.25694,2.29271,2.33235,2.37048,2.40305,2.43864,2.49553,2.58464,2.71498,2.85261,2.92614,2.93521,2.90934,2.86292,2.80574,2.74387,2.68326,2.62865,2.58226,2.54451,2.51603,2.49954,2.49546,2.50263,2.51873,2.5441,2.59466,2.70855,2.91305,3.14549,4.3,74.6,95.7,CL,N,N,N,N
95B24A,1.9023,1.8474,1.8182,1.8204,1.8418,1.8704,1.8899,1.9025,1.9185,1.942,1.9726,2.0041,2.0319,2.0644,2.1189,2.2052,2.3338,2.4684,2.5328,2.5287,2.4879,2.4256,2.3522,2.2744,2.1993,2.1328,2.0781,2.0366,2.0096,2.0006,2.0095,2.0348,2.0725,2.1213,2.1972,2.339,2.5738,2.8292,4.3,74.6,95.7,CL,N,N,N,N
95B20A,1.9838,1.9373,1.9151,1.9223,1.9472,1.9783,2.0003,2.0154,2.0334,2.058,2.0888,2.1202,2.1479,2.1796,2.2306,2.3098,2.4281,2.5524,2.612,2.6086,2.5709,2.5125,2.4433,2.3693,2.2973,2.2329,2.1788,2.1364,2.1072,2.0945,2.0984,2.1174,2.1482,2.1898,2.2578,2.3904,2.6148,2.8622,4.3,74.6,95.7,CL,N,N,N,N
95B14A,1.966,1.9014,1.8677,1.8674,1.8866,1.9129,1.9316,1.9445,1.9608,1.9846,2.0151,2.0464,2.0745,2.1064,2.1562,2.2318,2.3443,2.4616,2.5177,2.5139,2.4764,2.4173,2.3456,2.2677,2.1909,2.1216,2.0634,2.0179,1.9874,1.9754,1.9818,2.0044,2.0398,2.0859,2.1578,2.2917,2.5134,2.755,4.3,74.6,95.7,CL,N,N,N,N
95B11A,1.7327,1.7065,1.6956,1.7073,1.7338,1.766,1.7894,1.8057,1.8242,1.8485,1.8784,1.9081,1.9336,1.9628,2.0124,2.0921,2.2107,2.3354,2.4007,2.4073,2.3812,2.3347,2.2767,2.2133,2.1508,2.0948,2.0481,2.0119,1.9876,1.9782,1.9837,2.0027,2.0323,2.0714,2.1346,2.2563,2.4611,2.6855,4.3,74.6,95.7,CL,N,N,N,N
