SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Product,Exclude,
95B20A,1.98380,1.93730,1.91510,1.92230,1.94720,1.97830,2.00030,2.01540,2.03340,2.05800,2.08880,2.12020,2.14790,2.17960,2.23060,2.30980,2.42810,2.55240,2.61200,2.60860,2.57090,2.51250,2.44330,2.36930,2.29730,2.23290,2.17880,2.13640,2.10720,2.09450,2.09840,2.11740,2.14820,2.18980,2.25780,2.39040,2.61480,2.86220,4.30000,74.60000,95.70000,CL,Y,
95B14A,1.96600,1.90140,1.86770,1.86740,1.88660,1.91290,1.93160,1.94450,1.96080,1.98460,2.01510,2.04640,2.07450,2.10640,2.15620,2.23180,2.34430,2.46160,2.51770,2.51390,2.47640,2.41730,2.34560,2.26770,2.19090,2.12160,2.06340,2.01790,1.98740,1.97540,1.98180,2.00440,2.03980,2.08590,2.15780,2.29170,2.51340,2.75500,4.30000,74.60000,95.70000,CL,Y,
95B11A,1.73270,1.70650,1.69560,1.70730,1.73380,1.76600,1.78940,1.80570,1.82420,1.84850,1.87840,1.90810,1.93360,1.96280,2.01240,2.09210,2.21070,2.33540,2.40070,2.40730,2.38120,2.33470,2.27670,2.21330,2.15080,2.09480,2.04810,2.01190,1.98760,1.97820,1.98370,2.00270,2.03230,2.07140,2.13460,2.25630,2.46110,2.68550,4.30000,74.60000,95.70000,CL,Y,
95B22A,1.83720,1.80310,1.78850,1.79980,1.82750,1.86100,1.88550,1.90270,1.92220,1.94780,1.97930,2.01090,2.03840,2.06970,2.12150,2.20350,2.32520,2.45270,2.51680,2.51880,2.48650,2.43370,2.36980,2.30100,2.23390,2.17400,2.12400,2.08510,2.05860,2.04740,2.05190,2.07030,2.09970,2.13910,2.20390,2.33090,2.54640,2.78740,4.40000,74.50000,95.60000,CL,Y,
95B24A,1.95240,1.97410,1.99880,2.03630,2.08370,2.13440,2.17460,2.20560,2.23660,2.27130,2.30990,2.34720,2.38030,2.41760,2.47430,2.55900,2.68400,2.81850,2.89180,2.90260,2.87910,2.83480,2.77930,2.71840,2.65800,2.60300,2.55550,2.51650,2.48690,2.46950,2.46480,2.47160,2.48770,2.51310,2.56370,2.67840,2.88800,3.13390,4.40000,74.50000,95.60000,CL,Y,
95B25A,1.81740,1.80110,1.79550,1.80910,1.83650,1.86880,1.89220,1.90810,1.92590,1.94930,1.97800,2.00640,2.03070,2.05960,2.11030,2.19260,2.31730,2.45050,2.51980,2.52520,2.49560,2.44470,2.38230,2.31450,2.24770,2.18750,2.13680,2.09680,2.06900,2.05660,2.06020,2.07820,2.10780,2.14810,2.21450,2.34550,2.56760,2.81630,4.50000,74.50000,95.60000,CL,Y,
95B2A,1.69970,1.71100,1.72100,1.74330,1.77570,1.81190,1.83910,1.85850,1.87870,1.90330,1.93210,1.95940,1.98200,2.00860,2.05570,2.13320,2.25130,2.37850,2.45020,2.46570,2.44880,2.41040,2.35860,2.29930,2.23900,2.18290,2.13430,2.09450,2.06530,2.05020,2.04970,2.06240,2.08570,2.11900,2.17730,2.29570,2.49950,2.72680,4.50000,74.50000,95.60000,CL,Y,
95B4A,1.73680,1.74970,1.76140,1.78400,1.81650,1.85320,1.88120,1.90130,1.92210,1.94670,1.97510,2.00220,2.02500,2.05130,2.09800,2.17550,2.29380,2.42120,2.49360,2.50950,2.49260,2.45360,2.40090,2.34030,2.27800,2.21990,2.16920,2.12720,2.09590,2.07890,2.07650,2.08760,2.10910,2.14020,2.19600,2.31200,2.51390,2.74120,4.50000,74.50000,95.60000,CL,Y,
95BC,2.17952,2.10451,2.06441,2.06138,2.07971,2.10600,2.12410,2.13636,2.15253,2.17624,2.20717,2.24011,2.27080,2.30579,2.35951,2.44083,2.56103,2.68602,2.74177,2.72995,2.68144,2.61120,2.52994,2.44435,2.36143,2.28754,2.22578,2.17758,2.14451,2.13025,2.13470,2.15582,2.18981,2.23466,2.30685,2.44684,2.68427,2.94887,4.50000,74.20000,95.60000,CL,Y,
95HSB21A,1.84232,1.85106,1.86157,1.88625,1.92288,1.96426,1.99507,2.01690,2.03952,2.06696,2.09897,2.13023,2.15714,2.18921,2.24594,2.33888,2.47891,2.62954,2.71018,2.71946,2.68991,2.63683,2.57083,2.49829,2.42609,2.36033,2.30404,2.25845,2.22510,2.20778,2.20716,2.22179,2.24864,2.28655,2.35304,2.48847,2.72186,2.98001,4.40000,74.50000,95.60000,CL,Y,
