SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6*,Sp7*,Sp8*,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Exclude,Exclude,Exclude
GC213050,2.63949,2.59316,2.55392,2.52132,2.49183,2.46336,2.43461,2.40751,2.38733,2.37898,2.38621,2.40992,2.43832,2.45043,2.43678,2.41544,2.41488,2.45545,2.54155,2.64556,2.71991,2.74364,2.73342,2.7047,2.66446,2.62026,2.57618,2.53413,2.49299,2.45487,2.42271,2.3984,2.38321,2.38066,2.40129,2.46893,2.60185,2.77893,12.6,8,N,N,N
1088,2.50454,2.47815,2.43911,2.40428,2.37597,2.35251,2.32961,2.30572,2.28627,2.27635,2.27991,2.29887,2.32529,2.33883,2.32779,2.3072,2.30345,2.33803,2.41062,2.49947,2.56747,2.5946,2.59247,2.57332,2.54119,2.50249,2.46333,2.4245,2.38596,2.35107,2.32303,2.30253,2.29061,2.28709,2.29819,2.3468,2.45932,2.61994,13.5,9.6,Y,Y,Y
12520.10.6,3.02106,2.9226,2.83733,2.764,2.69916,2.63918,2.57955,2.52108,2.47181,2.43926,2.43063,2.44768,2.47288,2.47758,2.45119,2.41767,2.41334,2.46373,2.56617,2.68186,2.75085,2.76294,2.74107,2.69868,2.64231,2.58055,2.51711,2.45485,2.39655,2.34561,2.30119,2.26795,2.24764,2.24248,2.26745,2.35569,2.52803,2.75254,10.8,10.3,N,N,N
GC2601086,2.69718,2.63753,2.58419,2.53991,2.49848,2.46258,2.43285,2.40063,2.37055,2.35359,2.35249,2.36842,2.39305,2.40655,2.39496,2.37218,2.36564,2.39842,2.47376,2.57105,2.64709,2.67911,2.67635,2.65493,2.62113,2.58083,2.54028,2.50067,2.45978,2.42114,2.38901,2.36566,2.35161,2.34813,2.36144,2.41532,2.53461,2.70679,14,10.8,N,N,N
12615.11.8,2.96808,2.87166,2.78961,2.7224,2.66153,2.60429,2.54653,2.49006,2.44248,2.41157,2.40402,2.42159,2.44685,2.45135,2.42488,2.39117,2.3859,2.43469,2.53442,2.64856,2.7196,2.7364,2.72106,2.68619,2.63792,2.58512,2.53152,2.47886,2.42642,2.37916,2.33984,2.31124,2.29539,2.29477,2.3233,2.41695,2.59286,2.81977,12,10.2,N,N,N
W272,3.27975,3.19811,3.14399,3.09916,3.08184,3.01589,2.92384,2.81764,2.72159,2.65359,2.6079,2.59251,2.58744,2.57771,2.54656,2.51637,2.50358,2.54143,2.60974,2.69142,2.75026,2.75104,2.75877,2.7344,2.7097,2.66228,2.63992,2.58585,2.55555,2.51823,2.48462,2.47107,2.46047,2.45089,2.47796,2.55407,2.69272,2.86747,17,10,N,N,N
GC2601062,3.27894,3.20747,3.14191,3.08844,3.03911,2.99719,2.96024,2.91996,2.88204,2.85801,2.85072,2.86094,2.88011,2.88887,2.87363,2.84746,2.83838,2.87006,2.94482,3.04117,3.11541,3.1445,3.13804,3.11232,3.07303,3.02776,2.98241,2.93942,2.89376,2.85036,2.81579,2.78978,2.77276,2.76786,2.78034,2.83704,2.96404,3.15812,13,11,N,N,N
NARC13.15.1,3.00831,2.91406,2.83167,2.76024,2.69643,2.63689,2.57754,2.51957,2.47053,2.43692,2.42565,2.43874,2.45837,2.45714,2.42763,2.39292,2.38497,2.42637,2.5159,2.61928,2.68235,2.69579,2.68096,2.6474,2.59876,2.54393,2.48722,2.4305,2.37548,2.32663,2.28491,2.25425,2.23705,2.23468,2.26184,2.3511,2.51852,2.72867,15.5,9.6,N,N,N
1014,2.51342,2.47502,2.43737,2.40307,2.37472,2.35002,2.32481,2.29813,2.27606,2.26388,2.26534,2.28239,2.30781,2.32038,2.30539,2.27686,2.26255,2.28666,2.35858,2.46037,2.53893,2.56737,2.56295,2.54017,2.50512,2.46505,2.42558,2.38712,2.34836,2.31114,2.27931,2.25371,2.23595,2.22721,2.23445,2.27949,2.38723,2.54323,11.4,7.8,N,N,N
6001.12.5,2.81598,2.72965,2.65464,2.5904,2.53392,2.48117,2.4279,2.37553,2.33169,2.30333,2.29752,2.31573,2.34125,2.34583,2.32037,2.28864,2.28372,2.32999,2.42642,2.53654,2.60208,2.61411,2.59555,2.55786,2.50613,2.44862,2.39003,2.33177,2.27631,2.22712,2.18461,2.15283,2.13369,2.12926,2.15382,2.2392,2.40339,2.61251,12.8,9.7,N,N,N
